Edit,Item Code,Item Name,Item Volume/Qty,Base Conversion Name,Conversion Volume/Qty,Conversion Name,Conversion Unit,Updated By,Updated Date
,1171,SOYA MILK,1,LITRE,1,UNIT,1.0,,2024-02-11 07:55:00
,1175,SKIMMED MILK 180ML,1,LITRE,1,UNIT,1.0,Sachin,2024-06-20 17:50:45
,1176,SOYA MILK 100 ML TA,1,LITRE,1,UNIT,1.0,,2023-12-19 11:46:04
,1639,WILLIES CACAO MEDELLIN 52% HOT CHOCOLATE (250G),1,Units,1,UNIT,1.0,Shubham,2025-02-11 09:23:47
,1781,ROYCE COTTON TOTE BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:48
,1789,ROYCE RED BENTO BOX,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:13
,1790,ROYCE AMANDE CHOCOLAT MILK,1,BOX,1,UNIT,1.0,admin1,2025-04-23 09:58:00
,1791,ROYCE AROMA CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 09:59:03
,1792,ROYCE BATON COOKIES COCONUT,1,BOX,1,UNIT,1.0,admin1,2025-04-23 09:59:50
,1793,ROYCE BATON COOKIES HAZEL CACAO,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:00:19
,1794,ROYCE BLUEBERRY CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:01:45
,1795,ROYCE CHOCOLATE BAR ALMOND,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:03:36
,1796,ROYCE CHOCOLATE BAR BLACK,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:05:47
,1797,ROYCE CHOCOLATE BAR MILK,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:07:43
,1798,ROYCE CHOCOLATE BAR WHITE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:16:36
,1799,ROYCE CHOCOLATE WAFERS HAZEL CREAM,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:08:19
,1800,ROYCE CHOCOLATE WAFERS STRAWBERRY CREAM,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:10:30
,1801,ROYCE CHOCOLATE WAFERS TIRAMISU,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:11:04
,1802,ROYCE COFFEE CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:11:30
,1803,ROYCE LEATHER BASKET,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:32:22
,1804,ROYCE MACADAMIA CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:15:05
,1810,ROYCE NUTTY BAR CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:18:16
,1811,ROYCE ORIGIN CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:19:45
,1812,ROYCE PETITE TRUFFE PRALINE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:21:09
