Burgundy Hospitality pvt ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149
"Item Master Report 
 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Code,Item Name,Alias Name,Short Name,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Manufacturer Name,Item Purchase Type,Ean Code,Purchase Price,Selling Price,MRP,Landing Cost,Width,Decimal Required,Item discount,Item Inclusive Tax,Applicable Online,Sales Tax,Main Distributor Name,Activity Status,SPL Rate,Is Weighable,GST Code,GST %,HSN Code,Purchase Calc GST On,Purchase Abatement,Sales Calc GST on,Sales Abatement,Dist GST No,Apply Selling Rate from Master,Shelf Life,Loyality Allowed,Batch / Expiry Optional,Allow Sales Return,Allow Exchange,Warranty in months,Allow Serial Numbered Product,SKU Type,Margin Based On,Barcode Print,Maximum Sales Order Qty,Minimum Sales Order Qty,Minimum Selling Days,Grainding Charge,Conversion,Is Integration Applicable,Detailed Description,Allow Item Free,Presentation Stock,Min Billing Qty,ERP Reference Code,Item Per Unit,Rack Number,Sell By,Barcode Profile,Custom Barcode Profile,Allow Coupon Tender,Tax Configuration,Tax Slab,Weight Per Unit,Batch/Expiry Date Details,Min Shelf Life(Whole No),Addl Description,Discount Type,Sell Rate  than Land. cost,Enable Addon Price,Serviceable,UOM,Expiry Date Format,Keep focus on Rate,Select Barcode Manual,Default Meter Qty,Unit,Max. Item Discount %,Promotion Schemes,Packing Stage,Item Selection Based,Daily Audit Process(Instk),Item Discount Allowed,Batch Date Confirmation,Service tax applicable,Service charge applicable,Sub UOM Conversion,Excess % for PO to RN Qty,Excess % for SO to Alloc Q,Packed Confirmation,Indent Type,Sales return limit days,Item Extra Description,Is Favourite,Dynamic Combo,Gate Keeper Margin,Height,Length,Product type (GST),Allow Negative Stock,Allow Rate Edit,Commodity,Tax,Purchase Allowed,Purchase Order Allowed,Sales Allowed,Shelf Number,Box Number,Transfer Out,Stock Transfer,Tax calculation,Allow Change selling in Outlet,Allow Wastage,Allow Item selection,Basic Cost,Lead Time,Tolerance Limit,Replenishment Time (RT),Buffer (Days),Min. Shelf Life %(Whole No),Indent Expiry Hours,ReOrder Type,Item Max Stock,Item Min Stock,Item Min Days,Item Max Days,Avg. Day Sales,Item Preparation Status,Item Min Value,Item Max Value,Reorder Qty,Day (-) N th Day,Perc of Next Day Sales,Max. Billing Qty,Extra Cess Amount(Per Qty),Margin %,Created Date,Batch Selection,Created By,Add Info 1,Add Info 2,Add Info 3,Add Info 4,Add Info 5
1,ZZ_Optional_Item_ZZ,,ZZ_Optional_Item_ZZ,CAFE - BEVERAGES, , , , , , , , , ,,,,0,0,0,0,0,0,0,,YES,0,,REGULAR,0,,0,,,PURCHASE RATE,0,SELLING RATE,0,,N0,,,Not Applicable,,,,,Put Away,,Yes,0,0,0,0,0,No,,No,0,1,,1,,,Profile 1,Profile 1,NO,GST,0,0,,0,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,,No,,0,0,0,Goods,,,0,0,No,Yes,No,,,Yes,Yes,Itemmaster,Yes,,Default,0,0,0,0,0,0,0,Manual,0,0,0,0,0,,0,0,0,0,0,0,0,,2023-03-27 12:38:27,,HQ,,,,,
1101,CHOCOLATE MILKSHAKE,CHO MIL,CMILK,CAFE - BEVERAGES,SHAKES,,,,,ITEM,,,RECIPE,MFR,,,1,290,290,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,1,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Show Multiple Batch Lov,MIGRATION,,,,,
1102,COLD COFFEE,COL COF,CCOF,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,RECIPE,MFR,,,1,290,290,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,1,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1103,VANILLA MILKSHAKE,VAN MIL,VMIL,CAFE - BEVERAGES,Shakes,,,,,ITEM,,,Recipe,MFR,,,1,150,150,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,INACTIVE,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,1,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1104,LEMON GRASS COOLER,LEM GRA COO,LGRACOO,CAFE - BEVERAGES,Cooler,,,,,ITEM,,,Recipe,MFR,,,1,150,150,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,INACTIVE,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,1,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1105,AMERICANO,AME,AMER,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,RECIPE,MFR,,,34.77,250,250,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,34.77,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1106,BABYCHINO,BAB,BBCH,CAFE - BEVERAGES,Hot Chocolate,,,,,ITEM,,,RECIPE,MFR,,,18.5,190,190,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,18.5,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1107,CAPPUCCINO,CAP,CAPP,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,RECIPE,MFR,,,41.77,300,300,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,41.77,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
